,PCA1,PCA2,PCA3,PCA4,UMAP1,UMAP2
VT_171028_M314_167.mzML,-0.5700747,-0.9201306,-0.05822911,1.0088885,11.181051,1.7586116
VT_170729_M021_175.mzML,-0.20989315,-0.2341736,-2.061308,2.6538358,11.12087,1.5048381
YW_200307_M431_189.mzML,3.3013823,1.88185,4.9837165,-2.4811995,5.0677147,16.630291
VT_170729_M021_177.mzML,-0.017472439,0.030816307,-1.8616843,2.5942836,11.128324,1.5085785
YW_200319_M431_271.mzML,2.9818368,-0.01840578,1.988937,-1.1828516,4.752039,17.037048
VT_181130_M338_013.mzML,4.3646545,3.3515794,-1.7844331,0.6137265,12.588459,3.121636
YW_200319_M431_005.mzML,0.88652855,-0.39993554,3.6361272,0.03895753,5.401466,16.40958
VT_181130_M338_017.mzML,4.410121,3.3824568,-1.8146206,0.6295195,12.589064,3.1222706
F088_210808_M462_267.mzML,3.603876,9.563051,0.55907,-1.3183641,10.080689,0.1499747
VT_181203_M338_017.mzML,4.4921284,3.4953618,-2.128229,0.54959214,12.5889435,3.1220107
F088_210524_M462_001.mzML,-0.65009266,-0.015412182,-0.9478755,1.2001265,17.253086,14.810786
VT_181130_M338_015.mzML,4.154638,3.174469,-1.5884111,0.52148855,12.587647,3.1233366
batch10/KL_200518_M436_007.mzML,2.3609993,0.9786892,-1.6087502,-2.6483612,-3.9328103,8.185562
batch10/KL_200518_M436_143.mzML,0.91476136,0.729613,-1.4825703,-2.5200083,-3.7834451,8.295336
batch10/KL_200518_M436_015.mzML,0.09626067,0.033187043,-1.6412638,-2.3720737,-3.7286296,8.332647
VT_181203_M338_117.mzML,4.5145106,3.5097682,-1.9659977,0.60530615,12.590264,3.1207392
VT_181203_M338_015.mzML,4.2298346,3.2982717,-1.9243797,0.44932467,12.625399,3.08098
VT_170728_M021_107.mzML,1.058802,1.3707353,-1.4859136,2.3193262,11.11956,1.4333596
VT_171028_M314_153.mzML,-0.75498676,-1.8101842,-0.12623228,0.6736542,11.182378,1.7217652
VT_170728_M021_105.mzML,0.21146214,0.41883644,-1.5111741,2.3028371,11.142099,1.5040857
batch9/KL_200516_M436_273.mzML,2.474063,1.0876098,-1.5157254,-3.1447706,-3.9791396,9.217871
VT_181203_M338_013.mzML,3.2641103,2.7393272,-1.4142495,0.44546908,12.584325,3.1206243
batch10/KL_200518_M436_279.mzML,0.11425114,0.07164621,-1.6671517,-2.4422214,-3.7300105,8.317674
VT_171028_M314_155.mzML,-0.20254092,-0.45875713,-0.10205131,0.6412909,11.180313,1.7817243
YW_200304_M431_007.mzML,3.0352793,0.32307178,2.2812052,-1.364289,4.782336,16.95105
VT_181203_M338_115.mzML,4.0496774,3.1748435,-1.6958654,0.6081497,12.592626,3.1193638
batch9/KL_200516_M436_275.mzML,0.35244313,0.5592461,-1.7213007,-2.8664002,-3.745532,8.308603
batch10/KL_200518_M436_275.mzML,-1.044514,-1.1153364,-2.4633846,-3.405585,-3.7156296,8.31516
batch10/KL_200518_M436_271.mzML,-0.24792084,-0.2572478,-1.8015823,-2.674156,-3.721944,8.318748
