number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout_rate,params_finetune_epochs,params_finetune_lr,params_latent_size,params_num_hidden_layers,params_pretrain_adv_weight,params_pretrain_epochs,params_pretrain_lr,user_attrs_Hold Out Test Finetune AUC,user_attrs_Hold Out Test Rand AUC,user_attrs_finetune AUC avg,user_attrs_finetune AUC std,user_attrs_number of input peaks,user_attrs_pretrain Adv AUC,user_attrs_pretrain Head AUC,user_attrs_rand AUC avg,user_attrs_rand AUC std,user_attrs_reconstruction loss,state
0,0.8467857062816619,2024-03-14 01:07:00,2024-03-14 01:10:21,0 days 00:03:21,tanh,0.0,6,0.0022604204435487333,23,2,2.8721852927482248,357,0.0020377550184593573,0.8536953330039978,0.8914027214050293,0.8467857062816619,0.02612616357268469,2736,0.6946603655815125,,0.866095228989919,0.014897316257222449,0.5713236331939697,COMPLETE
1,0.8683452288309733,2024-03-14 01:10:21,2024-03-14 01:29:24,0 days 00:19:03,sigmoid,0.4,156,0.003650286706341042,74,4,3.0862933567397537,376,0.0003838263098711731,0.9064856171607971,0.8770738840103149,0.8683452288309733,0.016153098135825526,2736,0.6950237154960632,,0.8779999772707622,0.01631628869124713,0.6612937450408936,COMPLETE
2,0.8426190475622813,2024-03-14 01:29:24,2024-03-14 01:32:58,0 days 00:03:34,tanh,0.30000000000000004,14,0.000636128803540158,25,5,0.11000803856007593,215,0.008013744774808984,0.847662091255188,0.9132729768753052,0.8426190475622813,0.032690238396150706,2736,0.6951813697814941,,0.8632619063059489,0.010350456201111236,0.6738731265068054,COMPLETE
3,0.8642261842886607,2024-03-14 01:32:58,2024-03-14 01:37:32,0 days 00:04:34,sigmoid,0.30000000000000004,27,0.0025199118349779662,4,5,2.476219412053383,31,0.00043680726250516576,0.896304726600647,0.8989441990852356,0.8642261842886607,0.01694281221836087,2736,0.5144628286361694,,0.8692261934280395,0.011138853426304643,0.9752881526947021,COMPLETE
4,0.631809538602829,2024-03-14 01:37:32,2024-03-14 01:43:38,0 days 00:06:06,sigmoid,0.4,49,0.00047192017411659936,8,4,0.8138760407288342,134,0.007129352010571745,0.6968326568603516,0.9117647409439087,0.631809538602829,0.08360088447458083,2736,0.5992738604545593,,0.8594761908054351,0.006623839450674326,0.695050060749054,COMPLETE
5,0.8284047583738963,2024-03-14 01:43:38,2024-03-14 01:53:06,0 days 00:09:28,leakyrelu,0.1,96,0.0005277686121388724,6,2,1.1128475512445941,80,0.005460553944369728,0.8699095249176025,0.9162896275520325,0.8284047583738963,0.012111198386388203,2736,0.80852210521698,,0.850035697221756,0.011908941344127524,0.5644997954368591,COMPLETE
6,0.8776190400123596,2024-03-14 01:53:06,2024-03-14 01:59:45,0 days 00:06:39,tanh,0.1,42,0.002406975971325853,91,4,1.3268468954147647,12,0.00024574977685860053,0.8883861303329468,0.8978129625320435,0.8776190400123596,0.0177861299294835,2736,0.6478673815727234,,0.8738928576310475,0.012978052300285805,0.5360545516014099,COMPLETE
7,0.830476188659668,2024-03-14 01:59:45,2024-03-14 02:05:57,0 days 00:06:12,leakyrelu,0.0,19,0.008152842034961257,44,5,9.697931002904912,200,0.0034911276109430233,0.8687783479690552,0.8642534613609314,0.830476188659668,0.02806899530623259,2736,0.9953290224075317,,0.8418333232402802,0.02258596521344513,0.43607091903686523,COMPLETE
8,0.8426190555095673,2024-03-14 02:05:57,2024-03-14 02:08:25,0 days 00:02:28,leakyrelu,0.0,7,0.0019620535346033716,5,3,2.058079719511831,21,0.007850880229029484,0.8665158748626709,0.9110106229782104,0.8426190555095673,0.04058933675934726,2736,0.7784785032272339,,0.8455476144949595,0.019688641784485497,0.5284337997436523,COMPLETE
9,0.8652856985727946,2024-03-14 02:08:25,2024-03-14 02:23:07,0 days 00:14:42,sigmoid,0.0,165,0.004121371714688182,6,5,0.14856617033860403,12,0.0002635330658847212,0.8763197660446167,0.8914026618003845,0.8652856985727946,0.02016520760648725,2736,0.5349571108818054,,0.8711666544278462,0.018880202761762114,0.6690981984138489,COMPLETE
10,0.8640595297018687,2024-03-14 02:23:07,2024-03-14 02:29:53,0 days 00:06:46,tanh,0.2,53,0.00010443045861253413,81,1,0.3074011807838216,10,0.00011660473632225527,0.9079940319061279,0.9132730960845947,0.8640595297018687,0.0062722376265928696,2736,0.6045628786087036,,0.8619047602017721,0.006174437074633671,0.5052705407142639,COMPLETE
11,0.8689523657162984,2024-03-14 02:29:53,2024-03-14 02:54:27,0 days 00:24:34,tanh,0.2,218,0.009458049128736537,91,4,4.70732744199241,38,0.0006385065807558272,0.9079939723014832,0.8989441990852356,0.8689523657162984,0.021943411322248696,2736,0.7032681107521057,,0.864464282989502,0.027919308212221685,0.5724672079086304,COMPLETE
12,0.8586547613143921,2024-03-14 02:54:27,2024-03-14 03:22:28,0 days 00:28:01,tanh,0.2,244,0.009164189643564084,98,4,7.253164630799694,31,0.000953408400946744,0.878582239151001,0.9117647409439087,0.8586547613143921,0.021533399292860564,2736,0.7549973726272583,,0.8642142792542775,0.03898396034106358,0.553088903427124,COMPLETE
